",,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced"
"Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA"
"82,Eastern Washington,33,14,19,.424,-1.98,-0.48,,11,7,,8,4,,5,13,,2576,2606,,69.1,112.2,.357,.348,.574,50.3,49.0,8.5,9.6,.539,15.3,31.5,.265"
"83,Elon,32,14,18,.438,-5.48,-3.01,,6,12,,8,8,,6,9,,2500,2492,,68.1,113.0,.337,.431,.557,50.1,54.5,10.0,8.9,.525,13.4,33.3,.243"
"84,Evansville,32,7,25,.219,-8.81,3.69,,3,17,,5,10,,1,12,,2143,2447,,67.5,98.5,.297,.433,.532,46.7,55.6,7.7,10.0,.499,17.0,23.0,.217"
"85,Fairfield,34,21,13,.618,-8.06,-9.06,,11,9,,12,4,,7,8,,2528,2432,,67.6,109.6,.277,.359,.521,52.7,45.0,9.8,9.6,.491,12.5,36.1,.197"
"86,FDU,32,11,21,.344,-14.99,-7.43,,8,10,,8,6,,3,15,,2150,2245,,64.5,103.8,.321,.455,.517,52.5,51.9,7.8,4.9,.483,15.4,33.6,.226"
"87,Florida NCAA,33,26,7,.788,27.90,13.11,,16,2,,14,1,,8,2,,2864,2376,,72.5,119.8,.391,.371,.568,59.5,54.0,9.2,12.4,.535,13.5,43.2,.277"
"88,Florida A&M,31,15,16,.484,-14.02,-8.95,,11,7,,8,4,,5,11,,2183,2312,,70.3,99.7,.374,.376,.532,49.9,52.4,11.5,8.1,.497,18.6,30.9,.261"
"89,Florida Atlantic,33,18,15,.545,3.77,1.93,,9,9,,11,4,,4,8,,2596,2453,,70.4,110.5,.330,.386,.555,52.8,46.8,8.3,14.0,.525,14.8,32.9,.234"
"90,Florida Gulf Coast,34,16,18,.471,-6.41,-5.03,,8,10,,11,6,,3,11,,2631,2598,,69.3,110.5,.287,.393,.546,52.0,52.0,11.0,11.5,.518,13.4,32.6,.206"
"91,Florida International,32,15,17,.469,-1.82,-0.47,,8,12,,12,6,,3,10,,2580,2492,,72.8,109.5,.390,.334,.548,50.9,52.4,12.4,13.6,.515,15.0,35.4,.268"
"92,Florida State,33,18,15,.545,11.66,9.24,,10,8,,11,6,,6,5,,2652,2572,,71.8,111.9,.347,.506,.555,48.0,52.5,11.0,11.6,.523,13.1,30.8,.247"
"93,Fordham,32,17,15,.531,0.25,-0.96,,8,10,,11,7,,4,6,,2235,2095,,65.7,105.9,.257,.384,.522,54.5,54.7,11.1,6.8,.496,14.6,34.8,.179"
"94,Fresno State,32,13,19,.406,3.50,4.66,,7,13,,10,8,,2,10,,2331,2330,,69.4,104.9,.343,.407,.549,49.5,50.3,9.6,6.6,.510,16.0,28.3,.256"
"95,Furman NCAA,34,22,12,.647,-3.24,-6.14,,10,8,,11,5,,7,5,,2600,2397,,66.7,113.4,.317,.470,.575,54.2,57.0,7.1,9.6,.553,15.2,32.7,.219"
"96,Gardner-Webb,33,4,29,.121,-22.36,-1.86,,1,15,,3,10,,0,16,,2248,2820,,71.0,96.0,.307,.387,.517,43.8,41.3,8.9,6.8,.487,17.1,23.8,.210"
"97,George Mason,32,23,9,.719,6.45,1.19,,11,7,,17,2,,4,6,,2347,2160,,64.9,113.0,.421,.351,.573,52.9,50.1,7.7,9.0,.535,14.2,31.4,.307"
"98,George Washington,33,18,15,.545,9.05,2.24,,8,10,,12,4,,3,7,,2708,2433,,70.3,116.2,.350,.466,.578,54.2,55.4,10.6,10.5,.549,15.2,36.3,.251"
"99,Georgetown,34,16,18,.471,9.22,8.51,,6,14,,10,7,,4,8,,2503,2479,,67.0,108.7,.373,.352,.539,50.8,57.8,9.6,10.3,.496,13.5,32.5,.276"
"100,Georgia NCAA,32,22,10,.688,19.57,8.91,,10,8,,14,4,,6,4,,2874,2533,,73.4,120.5,.370,.439,.583,50.5,48.4,11.2,15.1,.546,12.2,35.2,.278"
"101,Georgia Southern,37,21,16,.568,-6.48,-6.02,,8,10,,9,5,,7,8,,2994,2949,,71.3,112.3,.390,.488,.561,46.8,42.0,11.2,10.2,.520,12.6,28.9,.291"
"102,Georgia State,32,10,22,.313,-11.59,-4.59,,7,11,,7,7,,3,12,,2253,2391,,69.3,101.3,.367,.432,.508,47.5,51.2,9.9,8.6,.452,13.6,28.4,.287"
"103,Georgia Tech,31,11,20,.355,3.10,6.74,,2,16,,10,9,,1,9,,2287,2400,,71.6,102.6,.333,.332,.534,50.3,59.9,8.4,11.4,.500,16.2,29.9,.237"
"104,Gonzaga NCAA,33,30,3,.909,25.11,5.98,,16,2,,15,0,,8,2,,2809,2178,,70.4,120.5,.311,.310,.585,55.4,56.7,12.1,11.4,.563,11.7,34.8,.217"
"105,Grambling,33,14,19,.424,-12.21,-9.99,,7,11,,7,5,,4,13,,2321,2314,,69.9,100.7,.410,.380,.536,49.8,50.8,11.5,8.0,.490,18.2,30.8,.300"
"106,Grand Canyon,32,20,12,.625,11.03,4.06,,13,7,,13,4,,6,5,,2420,2197,,69.0,109.2,.395,.389,.560,53.6,49.6,9.5,10.5,.517,15.3,31.3,.298"
"107,Green Bay,33,18,15,.545,-5.00,-3.04,,12,8,,10,4,,6,9,,2469,2470,,65.2,114.0,.416,.371,.595,49.9,54.6,6.8,8.6,.553,14.2,25.7,.318"
"108,Hampton,32,13,19,.406,-8.65,-4.55,,7,11,,10,2,,2,12,,2237,2264,,66.5,104.3,.373,.376,.512,51.0,50.3,9.7,9.0,.470,14.1,33.6,.268"
"109,Harvard,29,17,12,.586,-1.61,-4.08,,10,4,,8,4,,9,6,,2032,1934,,64.0,108.1,.265,.401,.567,50.3,55.4,11.1,10.6,.532,15.3,26.9,.212"
